Temperature_C,pH,Substrate_Concentration_gL,HRT_hours,Pretreatment_Type,Cellulose_to_Hemicellulose_ratio,Climate_Type,Hydrogen_Yield_kg_per_ton
25,4.5,10,12,Acidic,1.2,Tropical,35.2
30,5.0,15,18,Alkaline,1.5,Temperate,38.7
35,5.5,20,24,Steam_Explosion,1.8,Arid,42.1
40,6.0,25,30,Acidic,2.0,Tropical,45.6
45,6.2,30,36,Alkaline,2.2,Temperate,49.3
50,6.5,35,42,Steam_Explosion,2.5,Arid,52.8
55,7.0,40,48,Acidic,2.8,Tropical,55.2
60,7.2,45,54,Alkaline,3.0,Temperate,53.7
65,7.5,50,60,Steam_Explosion,3.2,Arid,51.4
28,4.8,12,14,Acidic,1.1,Temperate,33.8
38,5.8,22,26,Alkaline,1.7,Arid,43.5
48,6.3,32,38,Steam_Explosion,2.3,Tropical,50.1
58,6.8,42,50,Acidic,2.6,Temperate,54.6
62,7.3,48,56,Alkaline,3.1,Arid,52.3
32,5.2,18,20,Steam_Explosion,1.4,Tropical,40.2
42,6.0,28,32,Acidic,1.9,Temperate,47.8
52,6.4,38,44,Alkaline,2.4,Arid,53.5
56,6.1,36,36,Steam_Explosion,2.1,Tropical,56.0
54,6.0,35,36,Acidic,2.2,Temperate,55.8
55,6.2,34,36,Alkaline,2.3,Arid,57.2
26,4.6,11,13,Alkaline,1.0,Tropical,32.5
36,5.6,21,25,Acidic,1.6,Temperate,44.1
46,6.1,31,37,Steam_Explosion,2.1,Arid,51.8
56,6.6,41,49,Alkaline,2.7,Tropical,55.9
61,7.1,47,55,Acidic,3.0,Temperate,53.1
33,5.3,19,22,Steam_Explosion,1.5,Temperate,41.5
43,6.0,29,34,Alkaline,2.0,Arid,48.9
53,6.5,39,46,Acidic,2.5,Tropical,54.2
57,6.3,37,40,Steam_Explosion,2.2,Temperate,56.5
59,6.0,33,38,Alkaline,1.9,Arid,55.0 
